Ã¿Ã¾frame.time,ip.src,ip.dst,ip.proto,frame.len,tcp.flags,udp.length
"Feb 21, 2025 10:15:27.632219000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.632288000 GTB Standard Time",192.168.65.1,192.168.65.7,6,222,0x0018,
"Feb 21, 2025 10:15:27.632311000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:27.633365000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
"Feb 21, 2025 10:15:27.633838000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.634461000 GTB Standard Time",192.168.65.1,192.168.65.7,6,74,0x0002,
"Feb 21, 2025 10:15:27.634503000 GTB Standard Time",192.168.65.7,192.168.65.1,6,74,0x0012,
"Feb 21, 2025 10:15:27.634953000 GTB Standard Time",192.168.65.1,192.168.65.7,6,66,0x0010,
"Feb 21, 2025 10:15:27.635017000 GTB Standard Time",192.168.65.1,192.168.65.7,6,181,0x0018,
"Feb 21, 2025 10:15:27.635035000 GTB Standard Time",192.168.65.7,192.168.65.1,6,66,0x0010,
"Feb 21, 2025 10:15:27.637554000 GTB Standard Time",192.168.65.7,192.168.65.1,6,275,0x0018,
